15.512954 1:0.529997 2:0.359809 3:0.258000 4:0.056763 5:0.083074 6:0.208826 7:0.251000 8:0.042990 9:0.091888 10:0.188866 11:0.244000 12:-0.012828 13:0.141369 14:0.112612 15:0.245000 16:-0.014881 17:0.142969 18:0.109851 19:0.671995 20:0.496966 21:0.311999 22:0.008675 23:0.258789 24:0.281289 25:0.305999 26:-0.007528 27:0.272066 28:0.252505 29:0.302999 30:-0.044931 31:0.306246 32:0.192215 33:0.303999 34:-0.047449 35:0.304530 36:0.185563 37:0.018470 38:4.945538 39:0.325247 40:-0.245835 41:0.504753 42:0.233333 
33.240482 1:0.500997 2:0.318636 3:0.243000 4:0.035352 5:0.083589 6:0.160787 7:0.244000 8:0.044881 9:0.074618 10:0.171855 11:0.234000 12:-0.007412 13:0.108711 14:0.093190 15:0.234000 16:-0.008075 17:0.108413 18:0.091586 19:0.637995 20:0.460900 21:0.295999 22:-0.005270 23:0.250153 24:0.236576 25:0.294000 26:0.013110 27:0.215707 28:0.248883 29:0.289000 30:-0.040660 31:0.261459 32:0.162301 33:0.290000 34:-0.046251 35:0.269511 36:0.156933 37:0.011320 38:3.977696 39:0.262905 40:0.380661 41:0.526710 42:0.066667 
32.009865 1:0.408998 2:0.289174 3:0.213000 4:0.024553 5:0.082331 6:0.142362 7:0.216000 8:0.022004 9:0.092343 10:0.147079 11:0.209000 12:-0.012896 13:0.108375 14:0.078742 15:0.210000 16:-0.015352 17:0.113808 18:0.078316 19:0.529997 20:0.405767 21:0.261000 22:-0.023982 23:0.227659 24:0.165376 25:0.264000 26:-0.010779 27:0.223705 28:0.195061 29:0.257000 30:-0.039234 31:0.231491 32:0.132524 33:0.255000 34:-0.024744 35:0.218349 36:0.154321 37:0.010229 38:3.010607 39:0.247208 40:-0.025366 41:0.538678 42:0.016667 
-2.640015 1:0.510997 2:0.342974 3:0.241000 4:0.025213 5:0.109819 6:0.169650 7:0.241000 8:0.017049 9:0.119364 10:0.159938 11:0.237000 12:-0.016668 13:0.146538 14:0.107982 15:0.237000 16:-0.028303 17:0.161521 18:0.096020 19:0.577996 20:0.410113 21:0.267000 22:0.001250 23:0.194304 24:0.197482 25:0.267000 26:-0.014862 27:0.226503 28:0.187679 29:0.266000 30:-0.031110 31:0.223627 32:0.146822 33:0.268000 34:-0.043175 35:0.232160 36:0.128325 37:0.010918 38:3.467351 39:0.412052 40:-0.153191 41:0.423061 42:0.027778 
10.554132 1:0.539996 2:0.363799 3:0.252000 4:0.026205 5:0.109923 6:0.169206 7:0.254000 8:0.036524 9:0.100865 10:0.183111 11:0.247000 12:-0.011298 13:0.149159 14:0.123256 15:0.248000 16:-0.009740 17:0.148067 18:0.125766 19:0.601996 20:0.447515 21:0.275000 22:-0.014216 23:0.228168 24:0.191813 25:0.277000 26:-0.003810 27:0.221872 28:0.212028 29:0.274000 30:-0.019498 31:0.229058 32:0.179737 33:0.274000 34:-0.016629 35:0.224878 36:0.182849 37:0.014264 38:4.024631 39:0.336629 40:-0.172274 41:0.595359 42:0.116667 
33.585537 1:0.545996 2:0.360542 3:0.269000 4:0.063151 5:0.080793 6:0.215650 7:0.260000 8:0.052004 9:0.083057 10:0.195011 11:0.254000 12:-0.001581 13:0.121180 14:0.117878 15:0.253000 16:-0.003284 17:0.122909 18:0.116025 19:0.694994 20:0.511797 21:0.320999 22:0.025412 23:0.240691 24:0.305332 25:0.314999 26:-0.004164 27:0.269121 28:0.258529 29:0.311999 30:-0.045106 31:0.316093 32:0.202167 33:0.312999 34:-0.048494 35:0.317233 36:0.195813 37:0.010540 38:3.990728 39:0.219034 40:-0.221451 41:0.528609 42:0.050000 
45.829014 1:0.500997 2:0.337639 3:0.246000 4:0.034771 5:0.099557 6:0.179878 7:0.251000 8:0.050883 9:0.085293 10:0.200385 11:0.240000 12:-0.005487 13:0.118500 14:0.106695 15:0.240000 16:-0.008371 17:0.121332 18:0.103350 19:0.662995 20:0.500867 21:0.305999 22:-0.012080 23:0.277079 24:0.245751 25:0.308999 26:0.018655 27:0.251085 28:0.300336 29:0.301999 30:-0.037720 31:0.295768 32:0.199854 33:0.303999 34:-0.049029 35:0.309756 36:0.186153 37:0.010579 38:2.848749 39:0.241657 40:0.106818 41:0.572696 42:0.016667 
9.174184 1:0.500997 2:0.344996 3:0.245000 4:0.037137 5:0.101720 6:0.189592 7:0.239000 8:0.017236 9:0.113162 10:0.153603 11:0.235000 12:-0.029422 13:0.161260 14:0.093030 15:0.235000 16:-0.021469 17:0.152792 18:0.102671 19:0.554996 20:0.400825 21:0.267000 22:0.000135 23:0.220981 24:0.221347 25:0.265000 26:-0.035001 27:0.248051 28:0.157397 29:0.262000 30:-0.050434 31:0.242606 32:0.118964 33:0.261000 34:-0.041182 35:0.235913 36:0.133000 37:0.014429 38:4.515892 39:0.291556 40:0.259601 41:0.575362 42:0.172222 
67.837715 1:0.411998 2:0.293402 3:0.216000 4:0.013860 5:0.109746 6:0.145493 7:0.221000 8:0.030196 9:0.093836 10:0.170283 11:0.213000 12:-0.014104 13:0.116044 14:0.083369 15:0.213000 16:-0.015665 17:0.118009 18:0.081717 19:0.588996 20:0.465994 21:0.286000 22:-0.016467 23:0.285241 24:0.239839 25:0.290000 26:0.006446 27:0.267657 28:0.285688 29:0.282000 30:-0.047698 31:0.280138 32:0.159330 33:0.282000 34:-0.054910 35:0.292052 36:0.152589 37:0.009975 38:1.395500 39:0.122858 40:0.081369 41:0.845230 42:0.011111 
30.002609 1:0.285000 2:0.192626 3:0.200000 4:0.026905 5:0.041978 6:0.097425 7:0.200000 8:-0.006415 9:0.073674 10:0.060446 11:0.200000 12:-0.008454 13:0.062311 14:0.046623 15:0.200000 16:-0.022287 17:0.077713 18:0.036074 19:0.379998 20:0.263473 21:0.201000 22:0.005693 23:0.105468 24:0.120622 25:0.201000 26:-0.047136 27:0.200408 28:0.068120 29:0.200000 30:-0.016628 31:0.118555 32:0.077306 33:0.200000 34:-0.037683 35:0.146708 36:0.054204 37:0.010242 38:3.583851 39:0.154258 40:0.129454 41:0.639615 42:0.066667 
3.214264 1:0.487997 2:0.311677 3:0.236000 4:0.052475 5:0.058894 6:0.171477 7:0.228000 8:0.007204 9:0.095663 10:0.111395 11:0.226000 12:-0.018564 13:0.124635 14:0.083726 15:0.225000 16:-0.004557 17:0.108739 18:0.098624 19:0.559996 20:0.388331 21:0.261000 22:0.036960 23:0.127901 24:0.217382 25:0.259000 26:-0.041955 27:0.211856 28:0.112921 29:0.258000 30:-0.032164 31:0.196916 32:0.121197 33:0.256000 34:-0.021619 35:0.185598 36:0.133979 37:0.010558 38:3.908814 39:0.310044 40:1.060084 41:0.426392 42:0.050000 
53.385979 1:0.340999 2:0.250090 3:0.200000 4:0.016547 5:0.080762 6:0.122599 7:0.200000 8:0.018019 9:0.080194 10:0.126033 11:0.200000 12:-0.013745 13:0.094711 14:0.063989 15:0.200000 16:-0.012764 17:0.093267 18:0.064779 19:0.477997 20:0.402497 21:0.248000 22:-0.013105 23:0.231323 24:0.193936 25:0.253000 26:-0.010421 27:0.234542 28:0.204928 29:0.245000 30:-0.040234 31:0.237363 32:0.130321 33:0.244000 34:-0.037231 35:0.232884 36:0.133437 37:0.010781 38:2.301342 39:0.197935 40:0.006424 41:0.790628 42:0.022222 
21.662275 1:0.298999 2:0.198718 3:0.200000 4:0.018394 5:0.053816 6:0.093211 7:0.200000 8:0.008812 9:0.057814 10:0.075940 11:0.200000 12:-0.012496 13:0.068183 14:0.044651 15:0.200000 16:-0.013744 17:0.069226 18:0.043398 19:0.382998 20:0.259824 21:0.200000 22:0.012425 23:0.096192 24:0.129367 25:0.200000 26:-0.018244 27:0.142130 28:0.092587 29:0.200000 30:-0.027184 31:0.126793 32:0.061366 33:0.200000 34:-0.030210 35:0.132069 36:0.059047 37:0.011108 38:3.143536 39:0.462599 40:0.842188 41:0.566140 42:0.022222 
48.869213 1:0.275000 2:0.272967 3:0.200000 4:0.035156 5:0.069951 6:0.163714 7:0.200000 8:0.004991 9:0.093073 10:0.105608 11:0.200000 12:-0.016415 13:0.106817 14:0.068328 15:0.200000 16:-0.013285 17:0.103353 18:0.072109 19:0.350999 20:0.363038 21:0.211000 22:0.015287 23:0.165927 24:0.215545 25:0.209000 26:-0.043586 27:0.251280 28:0.113593 29:0.206000 30:-0.044403 31:0.237312 32:0.100334 33:0.205000 34:-0.033287 35:0.218346 36:0.114751 37:0.010008 38:2.800478 39:0.123381 40:0.791717 41:0.781090 42:0.038889 
-0.127713 1:0.429998 2:0.251966 3:0.206000 4:0.022543 5:0.054505 6:0.102380 7:0.205000 8:0.014339 9:0.062489 10:0.093234 11:0.200000 12:0.000147 13:0.074759 14:0.075080 15:0.200000 16:-0.004817 17:0.080539 18:0.070010 19:0.484997 20:0.318026 21:0.226000 22:0.007665 23:0.114411 24:0.132889 25:0.226000 26:-0.006380 27:0.131742 28:0.116334 29:0.224000 30:-0.004922 31:0.123172 32:0.111488 33:0.224000 34:-0.005721 35:0.124136 36:0.110558 37:0.010253 38:3.823336 39:0.282573 40:-0.261423 41:0.496641 42:0.061111 
16.917690 1:0.445998 2:0.333386 3:0.249000 4:0.072974 5:0.069498 6:0.238768 7:0.230000 8:-0.014864 9:0.144787 10:0.109251 11:0.230000 12:-0.032339 13:0.160458 14:0.085171 15:0.230000 16:-0.027140 17:0.154133 18:0.090811 19:0.542996 20:0.439910 21:0.281000 22:0.058847 23:0.154418 24:0.306941 25:0.277000 26:-0.099958 27:0.368833 28:0.108932 29:0.272000 30:-0.068879 31:0.313132 32:0.133362 33:0.271000 34:-0.060416 35:0.297605 36:0.140189 37:0.010929 38:3.699079 39:0.397273 40:0.004294 41:0.411674 42:0.038889 
12.004961 1:0.317999 2:0.147584 3:0.200000 4:0.020125 5:0.020512 6:0.049926 7:0.200000 8:0.021092 9:0.021436 10:0.053123 11:0.200000 12:0.004182 13:0.029674 14:0.035695 15:0.200000 16:-0.000262 17:0.032065 18:0.031692 19:0.363999 20:0.207012 21:0.200000 22:0.000657 23:0.063835 24:0.065166 25:0.200000 26:0.005891 27:0.066436 28:0.079093 29:0.200000 30:-0.002672 31:0.066986 32:0.061585 33:0.200000 34:-0.012576 35:0.077153 36:0.051817 37:0.010785 38:4.112831 39:0.289765 40:-0.137129 41:0.570198 42:0.088889 
36.604172 1:0.374998 2:0.233768 3:0.200000 4:0.020991 5:0.061709 6:0.110280 7:0.200000 8:0.019271 9:0.062177 10:0.106387 11:0.200000 12:-0.007116 13:0.072914 14:0.058400 15:0.200000 16:-0.007206 17:0.073300 18:0.058572 19:0.504997 20:0.361342 21:0.244000 22:0.001749 23:0.162913 24:0.167393 25:0.244000 26:-0.004525 27:0.168270 28:0.156777 29:0.239000 30:-0.023839 31:0.171648 32:0.113909 33:0.238000 34:-0.025427 35:0.175709 36:0.113490 37:0.009709 38:3.434855 39:0.096292 40:0.276025 41:0.673190 42:0.055556 
5.514116 1:0.516997 2:0.370227 3:0.253000 4:0.038107 5:0.115138 6:0.206929 7:0.246000 8:0.038668 9:0.105693 10:0.198800 11:0.242000 12:-0.015825 13:0.168775 14:0.129978 15:0.243000 16:-0.024443 17:0.180917 18:0.121104 19:0.624995 20:0.478169 21:0.297999 22:-0.006931 23:0.286413 24:0.267479 25:0.287000 26:-0.020569 27:0.272926 28:0.218282 29:0.285000 30:-0.037479 31:0.285553 32:0.187591 33:0.286000 34:-0.041141 35:0.294243 36:0.186322 37:0.016331 38:4.042223 39:0.389251 40:0.073344 41:0.658377 42:0.127778 
51.396038 1:0.321999 2:0.228996 3:0.200000 4:0.011336 5:0.075526 6:0.102403 7:0.200000 8:0.016178 9:0.071363 10:0.109975 11:0.200000 12:-0.014203 13:0.083134 14:0.053691 15:0.200000 16:-0.013774 17:0.082868 18:0.054272 19:0.449998 20:0.366261 21:0.238000 22:-0.021138 23:0.222380 24:0.162539 25:0.237000 26:-0.002453 27:0.202278 28:0.195166 29:0.233000 30:-0.044275 31:0.212545 32:0.098799 33:0.233000 34:-0.041268 35:0.210382 36:0.103642 37:0.009867 38:2.689504 39:0.187348 40:0.011692 41:0.647189 42:0.022222 
53.279682 1:0.392998 2:0.271504 3:0.209000 4:0.024816 5:0.081549 6:0.143702 7:0.207000 8:0.017388 9:0.087031 10:0.130558 11:0.204000 12:-0.006192 13:0.092561 14:0.078502 15:0.203000 16:-0.009999 17:0.095816 18:0.073141 19:0.548996 20:0.420098 21:0.271000 22:-0.005663 23:0.233262 24:0.218026 25:0.270000 26:-0.019810 27:0.244763 28:0.192220 29:0.263000 30:-0.015903 31:0.215565 32:0.174649 33:0.265000 34:-0.041791 35:0.245771 36:0.140464 37:0.010192 38:2.543457 39:0.189218 40:0.033847 41:0.689430 42:0.016667 
72.324234 1:0.322999 2:0.251171 3:0.200000 4:0.006521 5:0.095850 6:0.112620 7:0.200000 8:0.010731 9:0.100672 10:0.129645 11:0.200000 12:-0.021464 13:0.108588 14:0.059521 15:0.200000 16:-0.021246 17:0.108379 18:0.059791 19:0.461997 20:0.362016 21:0.240000 22:0.001674 23:0.188975 24:0.193672 25:0.246000 26:-0.007887 27:0.216966 28:0.194625 29:0.237000 30:-0.046623 31:0.207672 32:0.092489 33:0.238000 34:-0.051907 35:0.212346 36:0.085741 37:0.009894 38:1.777220 39:0.066663 40:0.204990 41:0.914756 42:0.027778 
89.530045 1:0.295000 2:0.270064 3:0.200000 4:0.009281 5:0.123350 6:0.150705 7:0.200000 8:0.002328 9:0.125896 10:0.132567 11:0.200000 12:-0.027615 13:0.137277 14:0.067826 15:0.200000 16:-0.027640 17:0.137747 18:0.068105 19:0.402998 20:0.412870 21:0.240000 22:-0.016861 23:0.304357 24:0.247617 25:0.234000 26:-0.025572 27:0.296679 28:0.211925 29:0.232000 30:-0.054990 31:0.287012 32:0.124358 33:0.232000 34:-0.052767 35:0.284270 36:0.127794 37:0.010253 38:1.209079 39:0.192044 40:0.086372 41:0.893213 42:0.011111 
67.778114 1:0.276000 2:0.236025 3:0.200000 4:0.011273 5:0.083309 6:0.111268 7:0.200000 8:0.007430 9:0.090520 10:0.109219 11:0.200000 12:-0.021987 13:0.100618 14:0.052698 15:0.200000 16:-0.020205 17:0.098904 18:0.054733 19:0.363999 20:0.315168 21:0.212000 22:-0.021494 23:0.200227 24:0.135345 25:0.212000 26:-0.009493 27:0.179510 28:0.150965 29:0.209000 30:-0.043767 31:0.193243 32:0.075445 33:0.208000 34:-0.037223 35:0.183747 36:0.082684 37:0.009802 38:2.162507 39:0.058752 40:-0.263601 41:0.742620 42:0.016667 
43.039555 1:0.439998 2:0.294209 3:0.225000 4:0.030950 5:0.082383 6:0.155033 7:0.222000 8:0.025094 9:0.086816 10:0.146335 11:0.218000 12:-0.003813 13:0.097009 14:0.088695 15:0.218000 16:-0.008547 17:0.100299 18:0.081860 19:0.593996 20:0.440379 21:0.283000 22:-0.003620 23:0.230458 24:0.221103 25:0.281000 26:-0.016286 27:0.243638 28:0.201622 29:0.275000 30:-0.011580 31:0.228073 32:0.198227 33:0.276000 34:-0.036465 35:0.254735 36:0.162586 37:0.010068 38:3.054746 39:0.224121 40:-0.159264 41:0.624397 42:0.022222 
28.507935 1:0.352999 2:0.224486 3:0.200000 4:0.012876 5:0.064347 6:0.093020 7:0.200000 8:0.020158 9:0.053622 10:0.097293 11:0.200000 12:-0.013098 13:0.074521 14:0.048741 15:0.200000 16:-0.005473 17:0.066100 18:0.055358 19:0.445998 20:0.305890 21:0.221000 22:-0.001076 23:0.146332 24:0.143449 25:0.224000 26:-0.004824 27:0.141667 28:0.129362 29:0.217000 30:-0.029752 31:0.147533 32:0.076747 33:0.217000 34:-0.023093 35:0.140789 36:0.085330 37:0.011298 38:3.942197 39:0.216407 40:0.646336 41:0.554141 42:0.066667 
46.146809 1:0.459997 2:0.335118 3:0.240000 4:0.025581 5:0.120690 6:0.184421 7:0.241000 8:0.026535 9:0.119093 10:0.184741 11:0.234000 12:-0.030635 13:0.151490 14:0.083055 15:0.234000 16:-0.025810 17:0.147941 18:0.089711 19:0.577996 20:0.429163 21:0.284000 22:-0.008203 23:0.247573 24:0.225944 25:0.285000 26:0.001679 27:0.252650 28:0.257231 29:0.283000 30:-0.083805 31:0.293002 32:0.098235 33:0.280000 34:-0.061216 35:0.267064 36:0.121578 37:0.009706 38:3.218231 39:0.093183 40:-0.488739 41:0.674365 42:0.044444 
64.182404 1:0.416998 2:0.296604 3:0.223000 4:0.036172 5:0.091314 6:0.183363 7:0.217000 8:0.007818 9:0.116694 10:0.136709 11:0.215000 12:-0.015598 13:0.120721 14:0.084498 15:0.215000 16:-0.016780 17:0.122161 18:0.083204 19:0.589996 20:0.472186 21:0.290000 22:0.007924 23:0.262647 24:0.284691 25:0.287000 26:-0.039129 27:0.325820 28:0.216940 29:0.281000 30:-0.047323 31:0.289723 32:0.167067 33:0.281000 34:-0.046482 35:0.289021 36:0.168417 37:0.009945 38:1.675241 39:0.418665 40:0.073281 41:0.509199 42:0.005556 
42.576244 1:0.334999 2:0.248095 3:0.200000 4:0.004698 5:0.108603 6:0.121297 7:0.200000 8:0.015437 9:0.083682 10:0.123068 11:0.200000 12:-0.021561 13:0.107649 14:0.058639 15:0.200000 16:-0.025977 17:0.113269 18:0.054293 19:0.481997 20:0.364300 21:0.250000 22:-0.009523 23:0.216219 24:0.189880 25:0.247000 26:-0.021472 27:0.232703 28:0.172740 29:0.244000 30:-0.055038 31:0.232970 32:0.095653 33:0.245000 34:-0.064923 35:0.245075 36:0.084919 37:0.012094 38:2.553113 39:0.250137 40:-0.118362 41:0.847520 42:0.038889 
36.284649 1:0.346999 2:0.212180 3:0.200000 4:0.025651 5:0.043764 6:0.096998 7:0.200000 8:0.018212 9:0.052654 10:0.091239 11:0.200000 12:-0.002352 13:0.057419 14:0.053013 15:0.200000 16:-0.003444 17:0.058791 18:0.052322 19:0.467997 20:0.340529 21:0.232000 22:-0.007792 23:0.166110 24:0.145636 25:0.235000 26:-0.015827 27:0.190524 28:0.147876 29:0.226000 30:-0.021454 31:0.166307 32:0.111697 33:0.226000 34:-0.026247 35:0.173607 36:0.106684 37:0.011092 38:3.356987 39:0.257995 40:-0.460660 41:0.706834 42:0.061111 
42.043201 1:0.459997 2:0.335118 3:0.240000 4:0.025581 5:0.120690 6:0.184421 7:0.241000 8:0.026535 9:0.119093 10:0.184741 11:0.234000 12:-0.030635 13:0.151490 14:0.083055 15:0.234000 16:-0.025810 17:0.147941 18:0.089711 19:0.577996 20:0.429163 21:0.284000 22:-0.008203 23:0.247573 24:0.225944 25:0.285000 26:0.001679 27:0.252650 28:0.257231 29:0.283000 30:-0.083805 31:0.293002 32:0.098235 33:0.280000 34:-0.061216 35:0.267064 36:0.121578 37:0.009706 38:3.218231 39:0.093183 40:-0.488739 41:0.674365 42:0.044444 
78.975685 1:0.303999 2:0.227426 3:0.200000 4:0.007134 5:0.087928 6:0.105601 7:0.200000 8:0.003842 9:0.098152 10:0.107982 11:0.200000 12:-0.020884 13:0.101162 14:0.055137 15:0.200000 16:-0.023324 17:0.104335 18:0.052917 19:0.441998 20:0.356602 21:0.238000 22:-0.026283 23:0.230163 24:0.155781 25:0.240000 26:-0.015581 27:0.230597 28:0.185105 29:0.234000 30:-0.047190 31:0.215457 32:0.095208 33:0.233000 34:-0.041161 35:0.208223 36:0.102354 37:0.010383 38:1.451445 39:0.223017 40:0.072056 41:0.904945 42:0.016667 
48.374699 1:0.399998 2:0.289187 3:0.230000 4:0.047199 5:0.078975 6:0.193352 7:0.212000 8:-0.017898 9:0.129074 10:0.085852 11:0.212000 12:-0.032671 13:0.134676 14:0.060530 15:0.212000 16:-0.029108 17:0.129947 18:0.063867 19:0.521997 20:0.375305 21:0.278000 22:0.051172 23:0.142390 24:0.269164 25:0.259000 26:-0.060202 27:0.248401 28:0.102478 29:0.260000 30:-0.069643 31:0.233113 32:0.076939 33:0.259000 34:-0.059153 35:0.220646 36:0.086765 37:0.010584 38:1.716118 39:0.178004 40:-1.462664 41:0.829595 42:0.016667 
58.589684 1:0.361999 2:0.268957 3:0.213000 4:0.032006 5:0.088599 6:0.172612 7:0.200000 8:-0.017347 9:0.127095 10:0.082574 11:0.200000 12:-0.031597 13:0.131096 14:0.055754 15:0.200000 16:-0.029543 17:0.128255 18:0.057775 19:0.493997 20:0.357520 21:0.267000 22:0.038237 23:0.156319 24:0.255266 25:0.254000 26:-0.062623 27:0.252458 28:0.098153 29:0.254000 30:-0.073388 31:0.231252 32:0.067191 33:0.253000 34:-0.067818 35:0.227106 36:0.073372 37:0.010224 38:1.120416 39:0.182509 40:-1.477779 41:0.901517 42:0.011111 
14.621951 1:0.295999 2:0.144488 3:0.200000 4:0.017157 5:0.023512 6:0.049163 7:0.200000 8:0.014652 9:0.025001 10:0.046881 11:0.200000 12:0.002282 13:0.030217 14:0.033462 15:0.200000 16:-0.001436 17:0.032665 18:0.030629 19:0.369999 20:0.205064 21:0.200000 22:0.013147 23:0.050918 24:0.077316 25:0.200000 26:0.007382 27:0.058137 28:0.073192 29:0.200000 30:-0.000082 31:0.061930 32:0.061767 33:0.200000 34:-0.008109 35:0.069983 36:0.053927 37:0.010621 38:3.531076 39:0.311867 40:-0.336085 41:0.304927 42:0.016667 
3.921213 1:0.381998 2:0.184358 3:0.200000 4:0.016745 5:0.028082 6:0.054907 7:0.200000 8:0.018001 9:0.026614 10:0.055174 11:0.200000 12:0.001264 13:0.038867 14:0.040879 15:0.200000 16:-0.001931 17:0.040785 18:0.037735 19:0.427998 20:0.233862 21:0.201000 22:0.009821 23:0.061971 24:0.082848 25:0.202000 26:0.003710 27:0.067576 28:0.075379 29:0.201000 30:0.000112 31:0.068934 32:0.069167 33:0.201000 34:-0.006199 35:0.075153 36:0.062295 37:0.010489 38:3.542069 39:0.384836 40:-0.334784 41:0.334435 42:0.022222 
5.308644 1:0.505997 2:0.324678 3:0.242000 4:0.054402 5:0.062249 6:0.178425 7:0.236000 8:0.007663 9:0.099898 10:0.116349 11:0.234000 12:-0.019475 13:0.130004 14:0.087818 15:0.233000 16:-0.005015 17:0.114488 18:0.103519 19:0.566996 20:0.391824 21:0.263000 22:0.036138 23:0.131252 24:0.218724 25:0.262000 26:-0.042616 27:0.214460 28:0.114477 29:0.260000 30:-0.030779 31:0.197126 32:0.124748 33:0.259000 34:-0.020329 35:0.185864 36:0.137580 37:0.010314 38:3.904788 39:0.295721 40:1.054649 41:0.425657 42:0.050000 
19.871605 1:0.430998 2:0.290909 3:0.231000 4:0.073462 5:0.043321 6:0.206046 7:0.214000 8:-0.015462 9:0.120257 10:0.084212 11:0.214000 12:-0.021533 13:0.120895 14:0.072303 15:0.214000 16:-0.025028 17:0.124960 18:0.068590 19:0.521997 20:0.382998 21:0.263000 22:0.062737 23:0.105553 24:0.257912 25:0.255000 26:-0.082328 27:0.287510 28:0.083244 29:0.251000 30:-0.048610 31:0.229049 32:0.108865 33:0.252000 34:-0.054638 35:0.236185 36:0.102145 37:0.011077 38:3.491109 39:0.347076 40:0.074483 41:0.531921 42:0.044444 
42.271400 1:0.254000 2:0.203624 3:0.200000 4:0.009675 5:0.071786 6:0.093938 7:0.200000 8:0.002675 9:0.072743 10:0.078609 11:0.200000 12:-0.020353 13:0.081260 14:0.041589 15:0.200000 16:-0.020654 17:0.081749 18:0.041448 19:0.346999 20:0.268403 21:0.200000 22:0.002422 23:0.126871 24:0.133842 25:0.200000 26:-0.023078 27:0.165337 28:0.098990 29:0.200000 30:-0.035680 31:0.149554 32:0.059779 33:0.200000 34:-0.039105 35:0.155365 36:0.056781 37:0.010954 38:2.263625 39:0.244662 40:0.632849 41:0.775558 42:0.016667 
81.202698 1:0.321999 2:0.270144 3:0.200000 4:0.021360 5:0.098185 6:0.158792 7:0.200000 8:-0.003274 9:0.126737 10:0.117615 11:0.200000 12:-0.020895 13:0.123389 14:0.071812 15:0.200000 16:-0.022277 17:0.125710 18:0.070628 19:0.499997 20:0.412077 21:0.263000 22:-0.001550 23:0.254129 24:0.249592 25:0.260000 26:-0.044234 27:0.318126 28:0.187959 29:0.256000 30:-0.056006 31:0.265103 32:0.120451 33:0.257000 34:-0.057329 35:0.267676 36:0.119903 37:0.009925 38:0.873421 39:0.332765 40:0.087493 41:0.760170 42:0.005556 
10.252516 1:0.468997 2:0.294425 3:0.224000 4:0.029351 5:0.067746 6:0.131049 7:0.224000 8:0.038522 9:0.058514 10:0.140934 11:0.218000 12:-0.006980 13:0.102002 14:0.086670 15:0.218000 16:-0.009006 17:0.105045 18:0.085190 19:0.536996 20:0.367637 21:0.248000 22:-0.002652 23:0.158336 24:0.151868 25:0.248000 26:-0.003781 27:0.154733 28:0.145658 29:0.246000 30:-0.015964 31:0.170636 32:0.131931 33:0.246000 34:-0.016593 35:0.170978 36:0.130808 37:0.017731 38:4.532697 39:0.348850 40:0.091184 41:0.580170 42:0.172222 
14.726131 1:0.446998 2:0.333750 3:0.249000 4:0.073217 5:0.069520 6:0.239542 7:0.231000 8:-0.015324 9:0.145457 10:0.108978 11:0.231000 12:-0.032883 13:0.161391 14:0.085100 15:0.230000 16:-0.027606 17:0.155244 18:0.090718 19:0.541996 20:0.439618 21:0.281000 22:0.058184 23:0.155720 24:0.306762 25:0.277000 26:-0.099824 27:0.368782 28:0.109148 29:0.272000 30:-0.069589 31:0.314398 32:0.132725 33:0.271000 34:-0.061061 35:0.298736 36:0.139598 37:0.012502 38:3.748509 39:0.409813 40:0.014895 41:0.494774 42:0.055556 
37.780617 1:0.257000 2:0.140127 3:0.200000 4:0.011299 5:0.029205 6:0.046628 7:0.200000 8:0.008095 9:0.035680 10:0.048911 11:0.200000 12:-0.007368 13:0.038156 14:0.027544 15:0.200000 16:-0.008673 17:0.038717 18:0.026307 19:0.351999 20:0.220773 21:0.200000 22:-0.005784 23:0.089644 24:0.076369 25:0.200000 26:-0.003280 27:0.096442 28:0.088493 29:0.200000 30:-0.015403 31:0.086234 32:0.053944 33:0.200000 34:-0.022596 35:0.094084 36:0.046942 37:0.010803 38:3.876609 39:0.205911 40:-0.116294 41:0.641347 42:0.088889 
67.402779 1:0.276000 2:0.236025 3:0.200000 4:0.011273 5:0.083309 6:0.111268 7:0.200000 8:0.007430 9:0.090520 10:0.109219 11:0.200000 12:-0.021987 13:0.100618 14:0.052698 15:0.200000 16:-0.020205 17:0.098904 18:0.054733 19:0.363999 20:0.315168 21:0.212000 22:-0.021494 23:0.200227 24:0.135345 25:0.212000 26:-0.009493 27:0.179510 28:0.150965 29:0.209000 30:-0.043767 31:0.193243 32:0.075445 33:0.208000 34:-0.037223 35:0.183747 36:0.082684 37:0.009802 38:2.162507 39:0.058752 40:-0.263601 41:0.742620 42:0.016667 
33.966354 1:0.290000 2:0.195488 3:0.200000 4:0.027807 5:0.041669 6:0.099206 7:0.200000 8:-0.005520 9:0.073272 10:0.061844 11:0.200000 12:-0.006456 13:0.061184 14:0.049116 15:0.200000 16:-0.021768 17:0.078208 18:0.037206 19:0.382998 20:0.267110 21:0.202000 22:0.008669 23:0.102014 24:0.124967 25:0.201000 26:-0.046414 27:0.198939 28:0.068755 29:0.200000 30:-0.014291 31:0.116914 32:0.081203 33:0.200000 34:-0.036339 35:0.145523 36:0.055991 37:0.011511 38:3.670206 39:0.242375 40:0.257197 41:0.561478 42:0.055556 
